AbJahr,AbSemester,Modulnummer,Modul,Acronym,Art,Credits,Semester,Wochenstunden,Studienrichtung,Richtung,Professor,PVL,APL,schriftliche Prüfung,mündliche Prüfung
18,SoSe,I705,Forschungs-/Entwicklungsprojekt / Forschungsseminar,FEF,Pflichtmodul,10.0,3.0,4.0,74,Data Science,Prof. Dr. rer. nat. Anja Voß-Böhme,False,True,False,False
18,SoSe,I788,Wissenschaftliches Rechnen,WIR,Pflichtmodul,5.0,2.0,4.0,74,Data Science,PD Prof. Dr. rer. nat. habil. Michael Jung,False,False,False,True
18,SoSe,I820,Kontinuierliche Simulation,KOS,Pflichtmodul,5.0,2.0,4.0,74,Data Science,Prof. Dr. rer. nat. habil. Jörg Wensch,False,False,True,False
18,SoSe,I830,Lineare und nichtlineare Optimierung,LNO,Pflichtmodul,4.0,2.0,4.0,74,Data Science,Prof. Dr. rer. nat. Kerstin Dächert-Pauly,False,False,False,True
18,SoSe,I832,Algorithmik,ALG,Pflichtmodul,5.0,2.0,4.0,74,Data Science,Prof. Dr. rer. nat. Boris Hollas,False,False,False,True
18,SoSe,I836,Mathematisch-stochastische Modelle: Markovketten und Monte-Carlo-Simulationen,MSMMMCS,Pflichtmodul,5.0,2.0,4.0,74,Data Science,Prof. Dr. rer. nat. Anja Voß-Böhme,False,False,True,False
18,SoSe,I833,Deep Learning,DEL,Pflichtmodul,5.0,3.0,4.0,74,Data Science,PD Prof. Dr.-Ing. habil. Hans-Joachim Böhme,False,False,False,True
18,SoSe,I834,Mehrdimensionale Datenanalyse und statistische Lernverfahren,MDSL,Pflichtmodul,5.0,3.0,4.0,74,Data Science,Prof. Dr. rer. nat. Fabian Schwarzenberger,False,False,False,True
18,SoSe,I707,Masterarbeit,MAS,Pflichtmodul,30.0,4.0,0.0,74,Data Science,Prof. Dr.-Ing. Maik Thiele,False,False,True,True
18,SoSe,I282,Numerische Mathematik,NUM,Pflichtmodul,3.0,1.0,2.0,74,Data Science,PD Prof. Dr. rer. nat. habil. Michael Jung,False,False,True,False
18,SoSe,I840,Software-Engineering-Projekt,SEP,Pflichtmodul,3.0,1.0,2.0,74,Data Science,Prof. Dr.-Ing. habil. Dirk Müller,False,True,False,False
18,SoSe,I845,Wissenschaftlich-technische Visualisierung,WTV,Wahlpflichtmodul,5.0,2.0,4.0,74,Data Science,Prof. Dr.-Ing. habil. Wolfgang Oertel,False,False,False,True
18,SoSe,I523,3D-Programmierung,3DP,Wahlpflichtmodul,5.0,3.0,4.0,74,Data Science,PD Prof. Dr. rer. nat. Marco Block-Berlitz,False,True,False,False
18,SoSe,I740,Computer Vision / Bildverstehen,CVB,Wahlpflichtmodul,5.0,3.0,4.0,74,Data Science,Prof. Dr.-Ing. habil. Wolfgang Oertel,False,False,False,True
18,SoSe,I753,Mensch-Maschine-Kommunikation/Robotik,MMKR,Wahlpflichtmodul,5.0,3.0,4.0,74,Data Science,PD Prof. Dr.-Ing. habil. Hans-Joachim Böhme,False,False,True,False
18,SoSe,I755,Software Factories,SOF,Wahlpflichtmodul,5.0,3.0,4.0,74,Data Science,Prof. Dr.-Ing. habil. Dirk Müller,False,False,True,False
18,SoSe,I831,Maschinelle Lernverfahren,MAL,Wahlpflichtmodul,5.0,3.0,4.0,74,Data Science,Prof. Dr. rer. nat. Boris Hollas,False,False,False,True
18,SoSe,I838,Mathematisch-stochastische Modelle: Modellbildung und Modellanpassung,MSMMM,Wahlpflichtmodul,5.0,3.0,4.0,74,Data Science,Prof. Dr. rer. nat. Fabian Schwarzenberger,False,False,False,True
18,WiSe,I143,Erweiterte Datenbanktechnologien/Medienarchive,EDM,Pflichtmodul,5.0,1.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Maik Thiele,False,False,True,False
18,WiSe,I170,Informationssicherheit,INF,Pflichtmodul,5.0,1.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Robert Baumgartl,False,False,True,False
18,WiSe,I176,IT-Vertragsrecht,ITV,Pflichtmodul,3.0,1.0,2.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Andreas Westfeld,False,True,False,False
18,WiSe,I753,Mensch-Maschine-Kommunikation/Robotik,MMKR,Pflichtmodul,5.0,1.0,4.0,71,Informations- und Kommunikationstechnologien,PD Prof. Dr.-Ing. habil. Hans-Joachim Böhme,False,False,True,False
18,WiSe,I755,Software Factories,SOF,Pflichtmodul,5.0,1.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. habil. Dirk Mülle,False,False,True,False
18,WiSe,W955,Marketing/Unternehmensführung,MAU,Pflichtmodul,2.0,1.0,2.0,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. pol. Nicola Neuvians,False,False,True,False
18,WiSe,I220,Programmierparadigmen,PRO,Pflichtmodul,2.0,2.0,2.0,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. nat. Boris Hollas,False,False,True,False
18,WiSe,I265,Diskrete Simulation,DIS,Pflichtmodul,5.0,2.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Thomas Wiedemann,False,False,True,False
18,WiSe,I282,Numerische Mathematik,NUM,Pflichtmodul,3.0,2.0,2.0,71,Informations- und Kommunikationstechnologien,PD Prof. Dr. rer. nat. habil. Michael Jung,False,False,True,False
18,WiSe,I705,Forschungs-/Entwicklungsprojekt / Forschungsseminar,FEF,Pflichtmodul,10.0,3.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. nat. Anja Voß-Böhme,False,True,False,False
18,WiSe,I725,Parallele Algorithmierung,PAA,Pflichtmodul,5.0,2.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. habil. Peter Sobe,False,False,True,False
18,WiSe,I740,Computer Vision / Bildverstehen,CVB,Pflichtmodul,5.0,2.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. habil. Wolfgang Oertel,False,False,False,True
18,WiSe,I771,Sensornetze,SEN,Pflichtmodul,5.0,3.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Jörg Vogt,False,True,False,False
18,WiSe,I788,Wissenschaftliches Rechnen,WIR,Pflichtmodul,5.0,3.0,4.0,71,Informations- und Kommunikationstechnologien,PD Prof. Dr. rer. nat. habil. Michael Jung,False,False,False,True
18,WiSe,I832,Algorithmik,ALG,Pflichtmodul,5.0,3.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. nat. Boris Hollas,False,False,False,True
18,WiSe,I707,Masterarbeit,MAS,Pflichtmodul,30.0,4.0,0.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Maik Thiele,False,False,True,True
18,WiSe,I760,Mobile Netze,MON,Wahlpflichtmodul,5.0,2.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Mario Neugebauer,False,True,False,True
18,WiSe,I831,Maschinelle Lernverfahren,MAL,Wahlpflichtmodul,5.0,2.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. nat. Boris Hollas,False,False,False,True
18,WiSe,I833,Deep Learning,DEL,Wahlpflichtmodul,5.0,2.0,4.0,71,Informations- und Kommunikationstechnologien,PD Prof. Dr.-Ing. habil. Hans-Joachim Böhme,False,False,False,True
18,WiSe,I730,Echtzeitsysteme,ECH,Wahlpflichtmodul,5.0,3.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Robert Baumgartl,False,False,True,False
18,WiSe,I820,Kontinuierliche Simulation,KOS,Wahlpflichtmodul,5.0,3.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr. rer. nat. habil. Jörg Wensch,False,False,True,False
18,WiSe,I845,Wissenschaftlich-technische Visualisierung,WTV,Wahlpflichtmodul,5.0,3.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. habil. Wolfgang Oertel,False,False,False,True
18,SoSe,I143,Erweiterte Datenbanktechnologien/Medienarchive,EDM,Pflichtmodul,5.0,1.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Maik Thiele,False,False,True,False
18,SoSe,I170,Informationssicherheit,INF,Pflichtmodul,5.0,1.0,4.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Robert Baumgartl,False,False,True,False
18,SoSe,I176,IT-Vertragsrecht,ITV,Pflichtmodul,3.0,1.0,2.0,71,Informations- und Kommunikationstechnologien,Prof. Dr.-Ing. Andreas Westfeld,False,True,False,False
